cohort,seed,replicate_index,leg,direction,state,n,mean,sd,min,p01,p05,p50,p95,p99,max,frac_gt_120,frac_gt_150,frac_gt_180,frac_lt_0
w23a_gateA,s42,3,bound,dminus,5,800,36.64229656793052,15.294289036250333,10.4130878047,12.655584798443002,16.667709204704998,33.8430021735,63.917229326044996,79.515742635651,125.0385942693,0.00125,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,6,800,48.56012899738762,19.38787521040929,6.8216998536,15.501442903785001,20.066830578544998,46.93498483805,80.73812160163497,93.52329699075699,126.195614689,0.00125,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,7,800,64.03428833901184,19.427267356905045,9.5072467286,20.461962610586998,28.595647574795002,64.99894034565,92.782143470625,103.607125613529,126.8505432859,0.0025,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,8,800,66.62937069612161,20.30885043340869,15.4616171726,22.479887573894,30.22942916844,68.4791112721,97.058000436915,110.074356627992,126.8063689764,0.0025,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,9,800,69.05834328889787,22.014194111425606,13.666039899,18.647715347862,31.235295545505,69.48461587295,103.99225040826495,119.13740027760501,128.266151142,0.00875,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,10,800,83.97725476876366,30.005525792680057,12.915645913,21.171242475103,35.46374815143,82.16172285795,131.15781291226,143.126876734267,149.9418946957,0.1425,0.0,0.0,0.0
w23a_gateA,s42,3,bound,dminus,11,800,108.1642352830571,34.00782705777512,15.2865641432,26.203405551698005,38.69619570084,121.95709539865,146.80531041378498,156.99249476446,165.5928345082,0.52,0.0325,0.0,0.0
w23a_gateA,s42,3,bound,dminus,12,800,135.00724839675127,24.439569387011723,14.5756154398,42.244462255724,77.20187535476501,138.50079904544998,165.618388868545,180.18249505141,193.1092711154,0.86875,0.1975,0.01125,0.0
w23a_gateA,s42,3,bound,dminus,13,800,159.1884010821047,20.54310639006233,24.0781940876,114.37876248976102,128.20551726997,160.1931644582,188.50492179179997,194.07985751761,198.801188346,0.985,0.7025,0.15875,0.0
w23a_gateA,s42,3,bound,dminus,14,800,171.17208389294916,17.881857731101608,20.2746418648,126.468582414979,142.92889956014,174.5229836527,193.631952421095,198.00281210734502,199.8388109003,0.99375,0.9175,0.32375,0.0
w23a_gateA,s101,4,bound,dplus,0,800,177.14538193654423,14.971105552666023,120.3604706826,129.490424033451,142.58839509819,180.55015071495,194.251004912875,197.38521806866,199.1712303752,1.0,0.93,0.5125,0.0
w23a_gateA,s101,4,bound,dplus,1,800,142.950356044644,21.928337389012455,14.386324764,55.080431031946006,122.27311426234499,140.54318917535,180.02657137670997,190.987258383139,196.5374115391,0.955,0.2875,0.05,0.0
